,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Michael Jordan,34,6,250,70,164,4,13,57,70,9,15,24,14,11,4,10,13,201,.427,.308,.814,41.7,33.5,4.0,2.3,1.8,0.7,jordami01
2,Scottie Pippen,32,6,237,34,83,6,26,20,24,17,24,41,29,10,5,16,17,94,.410,.231,.833,39.5,15.7,6.8,4.8,1.7,0.8,pippesc01
3,Toni Kukoč,29,6,222,38,76,7,23,8,13,10,18,28,16,7,4,10,14,91,.500,.304,.615,37.0,15.2,4.7,2.7,1.2,0.7,kukocto01
4,Ron Harper,34,6,173,12,33,1,6,7,12,3,24,27,17,9,4,7,13,32,.364,.167,.583,28.8,5.3,4.5,2.8,1.5,0.7,harpero01
5,Luc Longley,29,6,131,12,27,0,0,6,8,11,18,29,9,5,5,11,25,30,.444,,.750,21.8,5.0,4.8,1.5,0.8,0.8,longllu01
6,Steve Kerr,32,6,125,7,20,5,13,4,4,1,1,2,15,2,0,3,8,23,.350,.385,1.000,20.8,3.8,0.3,2.5,0.3,0.0,kerrst01
7,Scott Burrell,27,6,83,9,22,1,4,2,3,0,15,15,0,7,1,3,7,21,.409,.250,.667,13.8,3.5,2.5,0.0,1.2,0.2,burresc01
8,Dennis Rodman,36,6,182,6,13,0,0,8,12,20,30,50,6,7,2,6,23,20,.462,,.667,30.3,3.3,8.3,1.0,1.2,0.3,rodmade01
9,Jud Buechler,29,6,30,3,5,2,3,0,0,1,1,2,2,1,1,1,4,8,.600,.667,,5.0,1.3,0.3,0.3,0.2,0.2,buechju01
10,Bill Wennington,34,3,13,2,5,0,0,0,0,0,3,3,1,0,1,2,1,4,.400,,,4.3,1.3,1.0,0.3,0.0,0.3,wennibi01
11,Randy Brown,29,2,8,1,3,0,0,0,0,0,2,2,0,1,0,2,0,2,.333,,,4.0,1.0,1.0,0.0,0.5,0.0,brownra02
12,Dickey Simpkins,25,2,12,1,2,0,0,0,2,1,2,3,1,0,1,1,1,2,.500,,.000,6.0,1.0,1.5,0.5,0.0,0.5,simpkdi01
,Team Totals,,6,1466,195,453,26,88,112,148,73,153,226,110,60,28,72,126,528,.430,.295,.757,244.3,88.0,37.7,18.3,10.0,4.7,-9999
