,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,LeBron James,31,7,292,82,166,13,35,31,43,17,62,79,62,18,16,31,16,208,.494,.371,.721,41.7,29.7,11.3,8.9,2.6,2.3,jamesle01
2,Kyrie Irving,23,7,273,72,154,15,37,31,33,8,19,27,27,15,5,18,18,190,.468,.405,.939,39.0,27.1,3.9,3.9,2.1,0.7,irvinky01
3,J.R. Smith,30,7,261,26,65,16,45,6,9,2,17,19,11,10,2,5,27,74,.400,.356,.667,37.3,10.6,2.7,1.6,1.4,0.3,smithjr01
4,Tristan Thompson,24,7,226,28,44,0,0,16,30,27,44,71,5,2,6,3,21,72,.636,,.533,32.3,10.3,10.1,0.7,0.3,0.9,thomptr01
5,Kevin Love,27,6,158,17,47,5,19,12,17,8,33,41,8,4,2,9,12,51,.362,.263,.706,26.3,8.5,6.8,1.3,0.7,0.3,loveke01
6,Richard Jefferson,35,7,168,16,31,1,6,7,11,12,25,37,3,9,1,8,16,40,.516,.167,.636,24.0,5.7,5.3,0.4,1.3,0.1,jefferi01
7,Iman Shumpert,25,7,128,7,23,4,15,3,3,3,8,11,1,1,2,7,10,21,.304,.267,1.000,18.3,3.0,1.6,0.1,0.1,0.3,shumpim01
8,Matthew Dellavedova,25,6,46,5,19,1,6,5,6,2,1,3,6,0,0,3,7,16,.263,.167,.833,7.7,2.7,0.5,1.0,0.0,0.0,dellama01
9,Mo Williams,33,6,29,4,12,1,5,0,0,0,3,3,1,3,0,5,3,9,.333,.200,,4.8,1.5,0.5,0.2,0.5,0.0,willima01
10,Dahntay Jones,35,6,18,2,4,0,0,4,5,0,2,2,0,0,1,0,2,8,.500,,.800,3.0,1.3,0.3,0.0,0.0,0.2,jonesda02
11,Timofey Mozgov,29,5,25,2,6,0,0,3,4,3,5,8,0,3,1,4,8,7,.333,,.750,5.0,1.4,1.6,0.0,0.6,0.2,mozgoti01
12,Jordan McRae,24,1,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1.000,,,3.0,4.0,1.0,0.0,0.0,0.0,mcraejo01
13,Channing Frye,32,4,33,0,3,0,1,2,2,0,3,3,0,0,2,0,5,2,.000,.000,1.000,8.3,0.5,0.8,0.0,0.0,0.5,fryech01
14,James Jones,35,5,20,0,1,0,1,1,4,0,2,2,2,0,0,0,2,1,.000,.000,.250,4.0,0.2,0.4,0.4,0.0,0.0,jonesja02
,Team Totals,,7,1680,263,577,56,170,121,167,82,225,307,126,65,38,93,147,703,.456,.329,.725,240.0,100.4,43.9,18.0,9.3,5.4,-9999
