,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Cedric Maxwell,25,6,227,42,74,0,0,22,29,34,23,57,17,1,6,19,21,106,.568,,.759,37.8,17.7,9.5,2.8,0.2,1.0,maxwece01
2,Larry Bird,24,6,257,39,93,1,3,13,16,16,76,92,42,14,3,19,16,92,.419,.333,.813,42.8,15.3,15.3,7.0,2.3,0.5,birdla01
3,Robert Parish,27,6,167,39,77,0,0,12,19,16,30,46,6,7,12,19,27,90,.506,,.632,27.8,15.0,7.7,1.0,1.2,2.0,parisro01
4,Chris Ford,32,6,184,27,54,2,10,7,9,7,9,16,15,4,0,8,11,63,.500,.200,.778,30.7,10.5,2.7,2.5,0.7,0.0,fordch01
5,Tiny Archibald,32,6,203,24,66,0,2,14,16,1,6,7,33,4,0,16,11,62,.364,.000,.875,33.8,10.3,1.2,5.5,0.7,0.0,architi01
6,Rick Robey,25,6,98,19,34,0,0,9,16,5,17,22,2,0,1,7,18,47,.559,,.563,16.3,7.8,3.7,0.3,0.0,0.2,robeyri01
7,Gerald Henderson,25,6,95,19,36,0,1,5,6,5,5,10,10,4,2,4,10,43,.528,.000,.833,15.8,7.2,1.7,1.7,0.7,0.3,hendege01
8,M.L. Carr,30,6,110,17,37,0,0,6,8,5,5,10,6,4,4,3,10,40,.459,,.750,18.3,6.7,1.7,1.0,0.7,0.7,carrml01
9,Kevin McHale,23,6,83,12,31,0,0,4,7,10,10,20,5,0,4,6,13,28,.387,,.571,13.8,4.7,3.3,0.8,0.0,0.7,mchalke01
10,Terry Duerod,24,4,6,3,7,0,1,0,0,0,0,0,0,1,0,0,0,6,.429,.000,,1.5,1.5,0.0,0.0,0.3,0.0,duerote01
11,Eric Fernsten,27,4,10,0,3,0,0,2,3,1,3,4,1,1,0,0,2,2,.000,,.667,2.5,0.5,1.0,0.3,0.3,0.0,fernser01
,Team Totals,,6,1440,241,512,3,17,94,129,100,184,284,137,40,32,101,139,579,.471,.176,.729,240.0,96.5,47.3,22.8,6.7,5.3,-9999
