,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Larry Bird,30,6,254,53,119,4,8,35,38,11,49,60,33,7,7,18,9,145,.445,.500,.921,42.3,24.2,10.0,5.5,1.2,1.2,birdla01
2,Dennis Johnson,32,6,244,51,106,1,8,23,26,13,13,26,56,3,3,8,15,126,.481,.125,.885,40.7,21.0,4.3,9.3,0.5,0.5,johnsde01
3,Kevin McHale,29,6,231,48,82,0,0,27,33,15,39,54,12,1,6,15,18,123,.585,,.818,38.5,20.5,9.0,2.0,0.2,1.0,mchalke01
4,Robert Parish,33,6,183,42,71,0,1,16,27,12,27,39,7,5,7,9,24,100,.592,.000,.593,30.5,16.7,6.5,1.2,0.8,1.2,parisro01
5,Danny Ainge,27,6,234,31,62,9,21,4,4,4,14,18,30,7,2,14,17,75,.500,.429,1.000,39.0,12.5,3.0,5.0,1.2,0.3,aingeda01
6,Darren Daye,26,6,50,10,16,0,0,7,7,2,6,8,4,1,1,4,6,27,.625,,1.000,8.3,4.5,1.3,0.7,0.2,0.2,dayeda01
7,Fred Roberts,26,5,40,8,11,0,0,6,11,2,7,9,3,1,0,0,6,22,.727,,.545,8.0,4.4,1.8,0.6,0.2,0.0,roberfr01
8,Sam Vincent,23,4,33,6,12,0,0,7,10,1,3,4,5,1,1,3,3,19,.500,,.700,8.3,4.8,1.0,1.3,0.3,0.3,vincesa01
9,Conner Henry,23,4,15,4,9,0,3,2,4,1,2,3,0,0,0,1,1,10,.444,.000,.500,3.8,2.5,0.8,0.0,0.0,0.0,henryco01
10,Jerry Sichting,30,6,56,4,15,0,1,0,0,2,2,4,11,2,0,2,3,8,.267,.000,,9.3,1.3,0.7,1.8,0.3,0.0,sichtje01
11,Bill Walton,34,5,24,3,5,0,0,0,0,1,4,5,1,0,1,5,8,6,.600,,,4.8,1.2,1.0,0.2,0.0,0.2,waltobi01
12,Greg Kite,25,6,76,2,9,0,0,1,2,8,10,18,5,2,5,3,18,5,.222,,.500,12.7,0.8,3.0,0.8,0.3,0.8,kitegr01
,Team Totals,,6,1440,262,517,14,42,128,162,72,176,248,167,30,33,82,128,666,.507,.333,.790,240.0,111.0,41.3,27.8,5.0,5.5,-9999
