Year,Matchup,Result,Avg. Rating,Avg. Viewers (Millions)
2024,Celtics vs. Mavericks,4–1,5.8,11.31
2023,Nuggets vs. Heat,4–1,6.1,11.64
2022,Warriors vs. Celtics,4–2,6.6,12.40
2021,Bucks vs. Suns,4–2,5.2,10.15
2020,Lakers vs. Heat,4–2,4.0,7.45
2019,Raptors vs. Warriors,4–2,8.8,14.94
2018,Warriors vs. Cavaliers,4–0,10.0,17.56
2017,Warriors vs. Cavaliers,4–1,11.3,20.38
2016,Cavaliers vs. Warriors,4–3,11.4,20.28
2015,Warriors vs. Cavaliers,4–2,11.6,19.94
2014,Spurs vs. Heat,4–1,10.3,15.52
2013,Heat vs. Spurs,4–3,10.5,17.68
2012,Heat vs. Thunder,4–1,10.1,16.86
2011,Mavericks vs. Heat,4–2,10.4,17.34
2010,Lakers vs. Celtics,4–3,10.6,18.14
2009,Lakers vs. Magic,4–1,8.4,14.27
2008,Celtics vs. Lakers,4–2,9.3,14.97
2007,Spurs vs. Cavaliers,4–0,6.2,9.29
2006,Heat vs. Mavericks,4–2,8.5,13.00
2005,Spurs vs. Pistons,4–3,8.2,11.50
2004,Pistons vs. Lakers,4–1,11.5,17.89
2003,Spurs vs. Nets,4–2,6.5,9.83
2002,Lakers vs. Nets,4–0,10.2,15.00
2001,Lakers vs. 76ers,4–1,12.1,18.98
2000,Lakers vs. Pacers,4–2,11.4,17.40
1999,Spurs vs. Knicks,4–1,11.3,18.00
1998,Bulls vs. Jazz,4–2,18.7,29.04
1997,Bulls vs. Jazz,4–2,16.8,26.93
1996,Bulls vs. SuperSonics,4–2,16.7,25.87
1995,Rockets vs. Magic,4–0,13.9,20.61
1994,Rockets vs. Knicks,4–3,12.4,19.94
1993,Bulls vs. Suns,4–2,17.9,26.93
1992,Bulls vs. Trail Blazers,4–2,17.5,27.27
1991,Bulls vs. Lakers,4–1,15.8,24.43
1990,Pistons vs. Trail Blazers,4–1,12.3,19.23
1989,Pistons vs. Lakers,4–0,15.1,23.82
1988,Lakers vs. Pistons,4–3,15.9,24.12
