,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Karl Malone,34,6,243,60,119,0,1,30,38,21,42,63,23,6,7,23,19,150,.504,.000,.789,40.5,25.0,10.5,3.8,1.0,1.2,malonka01
2,Jeff Hornacek,34,6,205,23,56,3,9,15,18,1,15,16,16,5,1,11,18,64,.411,.333,.833,34.2,10.7,2.7,2.7,0.8,0.2,hornaje01
3,John Stockton,35,6,193,24,49,2,9,8,11,1,14,15,52,12,0,18,19,58,.490,.222,.727,32.2,9.7,2.5,8.7,2.0,0.0,stockjo01
4,Bryon Russell,27,6,217,18,44,6,21,11,16,4,26,30,8,7,1,9,15,53,.409,.286,.688,36.2,8.8,5.0,1.3,1.2,0.2,russebr01
5,Shandon Anderson,24,6,126,17,34,1,3,9,11,6,10,16,2,1,1,11,15,44,.500,.333,.818,21.0,7.3,2.7,0.3,0.2,0.2,andersh01
6,Howard Eisley,25,6,106,12,32,1,7,3,3,2,10,12,23,2,1,10,10,28,.375,.143,1.000,17.7,4.7,2.0,3.8,0.3,0.2,eisleho01
7,Chris Morris,32,6,105,11,28,0,9,4,6,2,13,15,3,2,1,2,17,26,.393,.000,.667,17.5,4.3,2.5,0.5,0.3,0.2,morrich01
8,Antoine Carr,36,6,87,11,22,0,0,3,4,5,7,12,0,0,1,4,11,25,.500,,.750,14.5,4.2,2.0,0.0,0.0,0.2,carran01
9,Adam Keefe,27,5,61,6,14,0,0,2,4,9,8,17,1,2,0,3,10,14,.429,,.500,12.2,2.8,3.4,0.2,0.4,0.0,keefead01
10,Greg Ostertag,24,5,55,5,12,0,0,1,1,5,11,16,0,0,1,2,6,11,.417,,1.000,11.0,2.2,3.2,0.0,0.0,0.2,ostergr01
11,Greg Foster,29,6,62,4,15,0,1,0,0,5,9,14,0,1,1,4,10,8,.267,.000,,10.3,1.3,2.3,0.0,0.2,0.2,fostegr01
12,Jacque Vaughn,22,1,7,0,6,0,0,0,0,0,2,2,0,0,0,1,0,0,.000,,,7.0,0.0,2.0,0.0,0.0,0.0,vaughja01
,Team Totals,,6,1467,191,431,13,60,86,112,61,167,228,128,38,15,98,150,481,.443,.217,.768,244.5,80.2,38.0,21.3,6.3,2.5,-9999
