,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Magic Johnson,27,6,236,66,122,1,2,24,25,12,36,48,78,14,2,13,10,157,.541,.500,.960,39.3,26.2,8.0,13.0,2.3,0.3,johnsma02
2,Kareem Abdul-Jabbar,39,6,203,50,98,0,1,30,45,15,29,44,5,3,15,10,19,130,.510,.000,.667,33.8,21.7,7.3,0.8,0.5,2.5,abdulka01
3,James Worthy,25,6,238,57,109,0,2,10,19,12,20,32,24,10,5,12,15,124,.523,.000,.526,39.7,20.7,5.3,4.0,1.7,0.8,worthja01
4,Michael Cooper,30,6,179,27,50,14,23,4,4,1,13,14,28,10,2,13,16,72,.540,.609,1.000,29.8,12.0,2.3,4.7,1.7,0.3,coopemi01
5,Byron Scott,25,6,181,30,62,1,12,10,11,7,11,18,14,3,1,6,19,71,.484,.083,.909,30.2,11.8,3.0,2.3,0.5,0.2,scottby01
6,Mychal Thompson,32,6,171,23,41,0,0,21,27,9,22,31,4,5,7,3,21,67,.561,,.778,28.5,11.2,5.2,0.7,0.8,1.2,thompmy01
7,A.C. Green,23,6,144,20,40,0,0,7,10,15,16,31,1,2,2,4,17,47,.500,,.700,24.0,7.8,5.2,0.2,0.3,0.3,greenac01
8,Kurt Rambis,28,6,56,3,7,0,0,5,6,4,11,15,3,0,0,2,14,11,.429,,.833,9.3,1.8,2.5,0.5,0.0,0.0,rambiku01
9,Adrian Branch,23,4,10,1,6,0,1,3,6,0,3,3,1,1,0,0,3,5,.167,.000,.500,2.5,1.3,0.8,0.3,0.3,0.0,brancad01
10,Wes Matthews,27,4,13,2,6,0,0,1,2,0,1,1,2,0,0,3,5,5,.333,,.500,3.3,1.3,0.3,0.5,0.0,0.0,matthwe01
11,Mike Smrek,24,4,9,1,3,0,0,0,0,2,3,5,0,0,1,1,4,2,.333,,,2.3,0.5,1.3,0.0,0.0,0.3,smrekmi01
,Team Totals,,6,1440,280,544,16,41,115,155,77,165,242,160,48,35,67,143,691,.515,.390,.742,240.0,115.2,40.3,26.7,8.0,5.8,-9999
