,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Kobe Bryant,29,6,258,53,131,9,28,39,49,8,20,28,30,16,1,23,19,154,.405,.321,.796,43.0,25.7,4.7,5.0,2.7,0.2,bryanko01
2,Pau Gasol,27,6,234,33,62,0,0,22,34,12,49,61,20,3,3,13,20,88,.532,,.647,39.0,14.7,10.2,3.3,0.5,0.5,gasolpa01
3,Lamar Odom,28,6,220,31,60,1,5,18,28,12,42,54,18,2,6,16,23,81,.517,.200,.643,36.7,13.5,9.0,3.0,0.3,1.0,odomla01
4,Derek Fisher,33,6,187,17,42,3,16,28,34,2,7,9,19,9,0,9,17,65,.405,.188,.824,31.2,10.8,1.5,3.2,1.5,0.0,fishede01
5,Sasha Vujačić,23,6,132,18,46,8,23,6,7,3,9,12,5,3,1,5,14,50,.391,.348,.857,22.0,8.3,2.0,0.8,0.5,0.2,vujacsa01
6,Vladimir Radmanović,27,6,128,16,41,10,26,2,2,6,23,29,8,4,0,4,22,44,.390,.385,1.000,21.3,7.3,4.8,1.3,0.7,0.0,radmavl01
7,Jordan Farmar,21,6,115,15,31,9,17,3,4,1,10,11,8,2,3,5,7,42,.484,.529,.750,19.2,7.0,1.8,1.3,0.3,0.5,farmajo01
8,Luke Walton,27,6,66,5,16,2,6,3,4,2,4,6,7,1,1,3,13,15,.313,.333,.750,11.0,2.5,1.0,1.2,0.2,0.2,waltolu01
9,Trevor Ariza,22,5,35,5,9,1,3,2,4,3,6,9,1,1,1,1,6,13,.556,.333,.500,7.0,2.6,1.8,0.2,0.2,0.2,arizatr01
10,Ronny Turiaf,25,6,62,5,10,0,0,1,4,0,4,4,0,0,3,1,13,11,.500,,.250,10.3,1.8,0.7,0.0,0.0,0.5,turiaro01
11,Chris Mihm,28,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,.000,,,3.0,0.0,0.0,0.0,0.0,0.0,mihmch01
,Team Totals,,6,1440,198,449,43,124,124,170,49,174,223,116,41,19,81,156,563,.441,.347,.729,240.0,93.8,37.2,19.3,6.8,3.2,-9999
