,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Luka Dončić,24,5,194,59,125,11,45,17,29,0,44,44,28,13,0,23,14,146,.472,.244,.586,38.8,29.2,8.8,5.6,2.6,0.0,doncilu01
2,Kyrie Irving,31,5,195,41,99,8,29,9,9,2,13,15,25,3,0,9,12,99,.414,.276,1.000,39.0,19.8,3.0,5.0,0.6,0.0,irvinky01
3,P.J. Washington,25,5,163,18,44,6,22,12,16,6,25,31,7,0,3,9,16,54,.409,.273,.750,32.6,10.8,6.2,1.4,0.0,0.6,washipj01
4,Daniel Gafford,25,5,74,16,22,0,0,8,12,9,13,22,2,1,3,1,4,40,.727,,.667,14.8,8.0,4.4,0.4,0.2,0.6,gaffoda01
5,Derrick Jones Jr.,26,5,116,13,30,3,12,4,5,5,9,14,3,3,3,1,6,33,.433,.250,.800,23.2,6.6,2.8,0.6,0.6,0.6,jonesde02
6,Dereck Lively II,19,5,114,12,17,1,1,3,7,16,25,41,2,4,1,5,11,28,.706,1.000,.429,22.8,5.6,8.2,0.4,0.8,0.2,livelde01
7,Josh Green,23,5,97,9,20,6,11,3,6,5,9,14,3,2,0,0,5,27,.450,.545,.500,19.4,5.4,2.8,0.6,0.4,0.0,greenjo02
8,Jaden Hardy,21,5,33,7,16,2,5,5,6,1,5,6,5,0,0,1,3,21,.438,.400,.833,6.6,4.2,1.2,1.0,0.0,0.0,hardyja02
9,Dante Exum,28,5,41,7,10,4,6,1,2,0,5,5,2,1,0,3,2,19,.700,.667,.500,8.2,3.8,1.0,0.4,0.2,0.0,exumda01
10,Tim Hardaway Jr.,31,4,48,5,15,5,12,0,0,0,6,6,1,1,0,0,3,15,.333,.417,,12.0,3.8,1.5,0.3,0.3,0.0,hardati02
11,Maxi Kleber,32,5,80,3,12,1,6,2,2,1,6,7,3,1,1,1,8,9,.250,.167,1.000,16.0,1.8,1.4,0.6,0.2,0.2,klebima01
12,Markieff Morris,34,1,12,1,5,1,3,0,0,0,4,4,0,0,0,1,1,3,.200,.333,,12.0,3.0,4.0,0.0,0.0,0.0,morrima02
13,A.J. Lawson,23,2,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,.500,,,5.5,1.0,0.0,0.0,0.0,0.0,lawsoaj01
14,Dwight Powell,32,3,16,0,0,0,0,0,0,1,3,4,2,0,0,1,2,0,,,,5.3,0.0,1.3,0.7,0.0,0.0,poweldw01
15,Olivier-Maxence Prosper,21,2,8,0,2,0,0,0,0,0,3,3,1,0,0,0,0,0,.000,,,4.0,0.0,1.5,0.5,0.0,0.0,prospol01
,Team Totals,,5,1202,192,419,48,152,64,94,46,170,216,84,29,11,55,87,496,.458,.316,.681,240.4,99.2,43.2,16.8,5.8,2.2,-9999
