,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Moses Malone,25,6,269,48,119,0,0,38,55,46,48,94,8,5,13,12,11,134,.403,,.691,44.8,22.3,15.7,1.3,0.8,2.2,malonmo01
2,Robert Reid,25,6,244,36,96,0,1,16,23,23,22,45,19,12,5,12,24,88,.375,.000,.696,40.7,14.7,7.5,3.2,2.0,0.8,reidro01
3,Billy Paultz,32,6,196,31,77,0,1,5,8,13,23,36,8,7,4,9,16,67,.403,.000,.625,32.7,11.2,6.0,1.3,1.2,0.7,paultbi01
4,Mike Dunleavy,26,6,165,22,53,3,7,12,15,4,10,14,19,2,1,12,18,59,.415,.429,.800,27.5,9.8,2.3,3.2,0.3,0.2,dunlemi01
5,Bill Willoughby,23,6,134,14,52,0,0,17,23,13,14,27,7,7,6,8,16,45,.269,,.739,22.3,7.5,4.5,1.2,1.2,1.0,willobi01
6,Tom Henderson,29,6,193,15,38,0,0,10,13,5,8,13,25,4,1,11,9,40,.395,,.769,32.2,6.7,2.2,4.2,0.7,0.2,hendeto01
7,Calvin Murphy,32,4,88,17,43,0,0,5,6,1,3,4,3,4,0,8,10,39,.395,,.833,22.0,9.8,1.0,0.8,1.0,0.0,murphca01
8,Allen Leavell,23,5,73,10,33,0,0,5,7,3,4,7,17,3,3,5,9,25,.303,,.714,14.6,5.0,1.4,3.4,0.6,0.6,leaveal01
9,Calvin Garrett,24,4,43,5,9,0,0,2,2,1,6,7,1,2,0,1,3,12,.556,,1.000,10.8,3.0,1.8,0.3,0.5,0.0,garreca01
10,Major Jones,27,3,18,4,8,0,0,1,3,1,4,5,1,1,1,0,4,9,.500,,.333,6.0,3.0,1.7,0.3,0.3,0.3,jonesma01
11,Rudy Tomjanovich,32,3,17,1,8,0,2,0,0,2,2,4,0,0,0,1,1,2,.125,.000,,5.7,0.7,1.3,0.0,0.0,0.0,tomjaru01
,Team Totals,,6,1440,203,536,3,11,111,155,112,144,256,108,47,34,79,121,520,.379,.273,.716,240.0,86.7,42.7,18.0,7.8,5.7,-9999
